account_id,account_name,tenant_id,health_score,health_segment,revenue,neediness_score,segment,account_level,industry,tad_score,tech_count,neediness_category
0011P000011GzgHQAS,mandrmechanicalservicesllc,3847808541,81,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000W9aUSAAZ,petetheplumberinc,587556287,85,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00000wp0ZeQAI,juniorsplumbingservices,620949442,88,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JI4PCQA1,tradesmanmechanicalservicesltd,3866070179,80,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00000xXCYxQAO,onestopheatingandairconditioningllc,1844550432,85,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001HwvNFQAZ,redwoodpipeanddraininc1,4248156053,80,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000XZQPWAA5,remoteresourcescorp,1124608292,58,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011P00001JIItIQAX,tcsofnewhampshirellcdbacountrysweep,2537164702,83,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00000zMeBoQAK,mountainviewpurewaterllc,1330140713,79,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P000012q4rrQAA,xpressqualityservicesllc,1847859738,65,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011P00001CMmyAQAT,pdiservicegroupllc,1125760679,58,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011a00000CYjzkAAD,jordanair,352004499,67,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011P000016oruTQAQ,tlmechanicalinc,1081243301,82,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001HwXjpQAF,greenisgreaterllc,2175255453,15,Red,100000,8,Residential,Corporate,Roofing,0,5,High
0011a00000LY1uhAAD,jjair,305271557,92,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JI50BQAT,precisioncomfortllc,3834426133,44,Red,100000,8,Residential,Corporate,Roofing,0,5,High
0011a00000mSfLcAAK,homecomfortsolutionsllc,854758065,85,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000bfd4wAAA,alwaysplumbing,365812495,97,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000W9a3wAAB,stacyheatingairsolutionsllc,976599587,77,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P0000179uU1QAI,richmondplumbinginc,1889824925,56,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011a00000sNO3jAAG,maloneelectricalsolutions,600345531,73,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000Ak6mNIAR,tuscanelectricheating,2996553763,86,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg000009A0hlIAC,housedoctorsrockhillsc,2738801685,77,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000r7x6UIAQ,plumbingproaustintexas,4264208029,92,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P000012oAN5QAM,beeskneesplumbingandheating,2867280286,94,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001CLLb0QAH,,,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011a00000vMgRrAAK,franklinheatingandair2,481641735,88,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000HQz9WIAT,bumblebeeblinds_154,3643301653,78,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg0000077qXrIAI,1800plumberbirmingham,2572968085,56,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000WVuIDAA1,chillypepper,369931072,92,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P000012msaiQAA,1800plumberfairfield,641316267,80,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P000012mOQpQAM,1800plumberpearland,634766497,88,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001HwiBRQAZ,proliftsebirmingham,1850860588,79,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000LwV7RIAV,phoenixhomecomfortllc1,3911773717,76,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000e2TdQAAU,aztecplumbinginc,572018786,87,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000cEGSWAA4,mannysheatingandairconditioning,1016448045,51,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
001Pg00000dNcePIAS,action_vertex,4103588245,84,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg000009bpPlIAI,proliftplainfieldil,2795020991,69,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011a00000W9auTAAR,jonsplumbing,2151228437,95,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001B67gHQAR,renewcrewwintergarden,1058593699,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011P00001GI14SQAT,,,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011a00000W9Fm1AAF,calcotesheating,1341941411,80,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P000016or3PQAQ,temperatureprodenver,856333219,81,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001HwiBbQAJ,housedoctorslittlerock,1850860611,36,Red,100000,8,Residential,Corporate,Roofing,0,5,High
0011P00001GI3NbQAL,,,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
